Year,Identity of mother,Habitat code,Habitat,Level,Height,Shade,Light,DW,DF,Disturbance,Area,Total,Max Score,Litter size,Litter size category,"structure (area, height, level)",resources (distance from food and water),"quality (shade, light)",disturbances
5,M104,UR,Urban,2,2,2,1,2,2,1,1,13,24,1,small,5,4,3,1
5,M105,UR,Urban,1,1,1,1,2,2,3,1,12,24,4,small,3,4,2,3
5,M106,UR,Urban,1,1,1,1,2,2,1,1,10,24,4,small,3,4,2,1
5,M107,UR,Urban,2,3,2,1,2,2,3,3,18,24,8,large,8,4,3,3
5,M108,UR,Urban,1,1,1,1,2,2,1,1,10,24,5,large,3,4,2,1
5,M109,UR,Urban,2,3,3,2,3,3,1,3,20,24,3,small,8,6,5,1
5,M110,UR,Urban,1,1,2,1,2,2,1,1,11,24,9,large,3,4,3,1
5,M111,UR,Urban,1,1,1,1,2,2,3,1,12,24,3,small,3,4,2,3
5,M112,UR,Urban,1,3,1,1,2,2,1,2,13,24,4,small,6,4,2,1
5,M113,UR,Urban,2,1,2,1,2,2,3,1,14,24,2,small,4,4,3,3
5,M114,UR,Urban,1,1,1,1,2,2,1,1,10,24,2,small,3,4,2,1
5,M115,SU,Semi,1,3,2,2,3,3,1,3,18,24,2,small,7,6,4,1
5,M116,UR,Urban,1,1,1,1,2,2,2,1,11,24,5,large,3,4,2,2
5,M117,UR,Urban,1,1,1,1,2,2,2,1,11,24,3,small,3,4,2,2
5,M118,UR,Urban,1,1,1,1,2,2,2,1,11,24,2,small,3,4,2,2
5,M119,UR,Urban,2,3,3,2,2,2,1,3,18,24,3,small,8,4,5,1
5,M120,UR,Urban,1,3,3,1,2,2,1,3,16,24,6,large,7,4,4,1
5,M121,UR,Urban,1,1,1,1,2,2,2,1,11,24,3,small,3,4,2,2
5,M122,UR,Urban,1,3,1,1,2,2,3,2,15,24,4,small,6,4,2,3
5,M123,UR,Urban,1,3,3,2,2,2,1,2,16,24,2,small,6,4,5,1
