"","Order","Family","Genus","Species","AdultBodyMass_g","BMR_mLO2hr","GestationLen_d","LitterSize","LittersPerYear","MaxLongevity_m","PopulationDensity_nkm2","SexualMaturityAge_d","TrophicLevel","GR_Area_km2","HumanPopDen_nkm2","PrecipMean_mm","TempMean_degC"
"255","Chiroptera","Phyllostomidae","Artibeus","Artibeus obscurus",35.6,NA,NA,0.98,NA,NA,NA,NA,1,11220757,19.72,154.26,240.14
"256","Chiroptera","Phyllostomidae","Artibeus","Artibeus phaeotis",11.7,NA,NA,0.99,2,NA,NA,NA,2,1163433,51.48,162.28,228.79
"257","Chiroptera","Phyllostomidae","Artibeus","Artibeus planirostris",47,NA,106.45,0.99,NA,NA,NA,NA,1,NA,NA,NA,NA
"258","Chiroptera","Phyllostomidae","Artibeus","Artibeus toltecus",15.4,NA,NA,0.98,2,NA,NA,NA,1,1039042,67.8,138.84,215.72
"259","Rodentia","Muridae","Arvicanthis","Arvicanthis abyssinicus",73.4,NA,NA,NA,NA,NA,11100,NA,NA,284170,114.03,91.02,177.94
"260","Rodentia","Muridae","Arvicanthis","Arvicanthis blicki",128,NA,NA,NA,NA,NA,NA,NA,NA,25420,86.2,71.06,66.91
"261","Rodentia","Muridae","Arvicanthis","Arvicanthis nairobae",NA,NA,NA,NA,NA,NA,NA,NA,NA,186397,61.5,63.55,211.44
"262","Rodentia","Muridae","Arvicanthis","Arvicanthis niloticus",95.8,NA,21.99,4.86,3.5,NA,7310,44.99,NA,9758465,40.98,77.47,249.02
"263","Rodentia","Muridae","Arvicanthis","Arvicanthis somalicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,1565120,23.68,46.96,237.53
"264","Rodentia","Muridae","Arvicola","Arvicola sapidus",220,NA,NA,3.22,NA,42,NA,NA,NA,1001465,118.2,56.12,118.31
"265","Rodentia","Muridae","Arvicola","Arvicola terrestris",120,113.1,21.24,4.89,3.5,60,57100,42,NA,18177349,45.95,39.14,10.26
"266","Chiroptera","Rhinolophidae","Asellia","Asellia patrizii",NA,NA,NA,NA,NA,NA,NA,NA,NA,132910,53.09,37.13,255.16
"267","Primates","Cebidae","Ateles","Ateles belzebuth",6720,NA,138.24,1.02,NA,336,13.5,NA,1,1175008,11.12,209.53,257.35
"268","Primates","Cebidae","Ateles","Ateles chamek",7130,NA,NA,NA,NA,NA,3.39,NA,1,990902,1.62,194.51,254.97
"269","Primates","Cebidae","Ateles","Ateles fusciceps",9070,NA,224.77,1.01,NA,288,NA,1574.06,1,201580,85.93,220.34,240.81
"270","Primates","Cebidae","Ateles","Ateles geoffroyi",7610,NA,226.52,1,NA,327.6,19.2,1824.99,1,806609,55.14,153.93,243.16
"271","Primates","Cebidae","Ateles","Ateles marginatus",6240,NA,NA,NA,NA,NA,NA,NA,1,831855,4.83,169.03,252.71
"272","Primates","Cebidae","Ateles","Ateles paniscus",8710,NA,228.25,1,NA,453.6,8,1824.99,2,892635,3.25,157.69,255.77
"273","Carnivora","Canidae","Atelocynus","Atelocynus microtis",8360,NA,NA,NA,NA,132,NA,NA,3,7634257,7.43,163.06,235.49
"274","Rodentia","Hystricidae","Atherurus","Atherurus africanus",2880,NA,108.32,1.22,2.75,274.8,NA,NA,2,5140712,44.07,139.92,240.77
"275","Rodentia","Hystricidae","Atherurus","Atherurus macrourus",2000,NA,NA,1.5,NA,NA,NA,NA,2,2597041,111.44,168.29,215.83
"276","Carnivora","Herpestidae","Atilax","Atilax paludinosus",3600,NA,77.47,2.49,2,209,NA,258.1,2,14296320,37.15,99.93,233.39
"277","Rodentia","Sciuridae","Atlantoxerus","Atlantoxerus getulus",251,NA,NA,NA,NA,108,NA,NA,NA,179364,77.86,25.6,156.01
"278","Rodentia","Muridae","Auliscomys","Auliscomys boliviensis",71,110.59,NA,3.4,NA,NA,NA,NA,NA,207033,23.75,54.21,71.72
"279","Rodentia","Muridae","Auliscomys","Auliscomys micropus",70.8,97.81,NA,3.96,NA,NA,231,58.36,2,348629,22.22,69.99,63.22
"280","Rodentia","Muridae","Auliscomys","Auliscomys pictus",54.7,NA,NA,NA,NA,NA,NA,NA,NA,309322,20.05,96.91,80.66
"281","Rodentia","Muridae","Auliscomys","Auliscomys sublimis",38,NA,NA,NA,NA,NA,NA,NA,NA,497531,13.3,62.02,38.57
"282","Cetacea","Phocoenidae","Australophocaena","Australophocaena dioptrica",65000,NA,NA,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","Primates","Indridae","Avahi","Avahi laniger",1020,NA,136.19,1.01,1,NA,72,NA,1,95148,34.34,165.9,206.05
"284","Artiodactyla","Cervidae","Axis","Axis axis",69500,NA,227.49,1,NA,249.6,6.7,462.75,NA,2041090,361.47,96.14,256.61
"285","Artiodactyla","Cervidae","Axis","Axis calamianensis",39500,NA,223.99,2,NA,NA,NA,NA,NA,1345,36.99,NA,NA
"286","Artiodactyla","Cervidae","Axis","Axis kuhlii",55000,NA,227.49,1,1.3,NA,4.41,NA,1,198,625,NA,NA
"287","Artiodactyla","Cervidae","Axis","Axis porcinus",37100,NA,220.13,1,NA,240,16.5,403.98,1,2017514,144.43,136.98,213.51
